file,sheet,n_samples,n_features,saturation_ratio,cross_sheet_phase_mae,phase_levels,phase_step_median,phase_coverage,effective_cycles,backward_ratio
raw_data_a4ef56fc__Sub_19_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,200,50,0.0107,0.0,67.0,0.011904999999999999,0.8751666666666674,8.693333333333332,0.0
raw_data_a4ef56fc__Sub_19_Seg_1_Aligned.xlsx,ultr_右股直肌_3,200,50,0.1821,0.0,67.0,0.011904999999999999,0.8751666666666674,8.693333333333332,0.0
raw_data_a4ef56fc__Sub_20_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,159,50,0.013333333333333334,0.0,62.0,0.014285999999999965,0.8776086956521741,7.08695652173913,0.0
raw_data_a4ef56fc__Sub_20_Seg_1_Aligned.xlsx,ultr_右股直肌_3,159,50,0.15245283018867925,0.0,62.0,0.014285999999999965,0.8776086956521741,7.08695652173913,0.0
raw_data_a4ef56fc__Sub_21_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,198,50,0.013232323232323233,0.0,64.0,0.013834000000000013,0.8645256916996047,9.190476190476192,0.0
raw_data_a4ef56fc__Sub_21_Seg_1_Aligned.xlsx,ultr_右股直肌_3,198,50,0.12212121212121212,0.0,64.0,0.013834000000000013,0.8645256916996047,9.190476190476192,0.0
raw_data_a4ef56fc__Sub_23_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,195,50,0.012,0.0,80.0,0.010352000000000028,0.8910485933503831,9.274891774891774,0.0
raw_data_a4ef56fc__Sub_23_Seg_1_Aligned.xlsx,ultr_右股直肌_3,195,50,0.1395897435897436,0.0,80.0,0.010352000000000028,0.8910485933503831,9.274891774891774,0.0
raw_data_a4ef56fc__Sub_25_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,160,50,0.0115,0.0,49.0,0.016976999999999992,0.8737060041407861,7.490476190476189,0.0
raw_data_a4ef56fc__Sub_25_Seg_1_Aligned.xlsx,ultr_右股直肌_3,160,50,0.143,0.0,49.0,0.016976999999999992,0.8737060041407861,7.490476190476189,0.0
